title,author,description,short_description,year,cover,original_title,original_isbn,q
"В субботу вечером, в воскресенье утром",Алан Силлитоу,"Сначала – работа, от звонка до звонка. Потом – домой, переодеться, а дальше – алкоголь, женщины, танцы и драки.Так живет герой романа Артур Ситон. Так живут его приятели. Да и как иначе, если бедный провинциальный мирок их родителей вызывает отвращение, а никакого другого будущего для них, парней и девушек из рабочих пригородов, судьбой не предназначено?«В субботу вечером, в воскресенье утром» – книга, открывшая новую страницу в истории английского романа.Книга, в которой автор заговорил голосом британской молодежи из рабочего класса – поколения «рассерженных молодых людей» – грубоватой, необразованной, но куда более остро чувствующей несправедливость и жестокость окружающего мира, чем их более благополучные сверстники.","Сначала – работа, от звонка до звонка. Потом – домой, переодеться, а дальше – алкоголь, женщины, танцы и драки.Так живет герой романа Артур Ситон. Так живут его приятели. Да и как иначе, если бедный п",1993,https://images.amazon.com/images/P/0821742841.01.LZZZZZZZ.jpg,Lady of the Forest,0821742841,в субботу вечером в воскресенье утром алан силлитоу
Он сказал / Она сказала,Эрин Келли,"Летом 1999 года Кит и его девушка Лора отправляются на фестиваль, чтобы увидеть редкое событие – полное солнечное затмение. В тот же день Лора оказывается свидетельницей изнасилования и, поверив напуганной жертве по имени Бесс, дает ложные показания в суде. После того как обвиняемого осудили, Бесс связывается с Лорой и предлагает встретиться, с каждым днем становясь все навязчивее... Лора начинает всерьез сомневаться, действительно ли Бесс – жертва?..Пятнадцать лет спустя Кит и Лора живут под новыми именами в другом городе, избегая новых знакомств. Но рано или поздно им придется встретиться со своим прошлым... Как далеко они готовы зайти, чтобы спасти себя и заставить других поверить в их историю?","Летом 1999 года Кит и его девушка Лора отправляются на фестиваль, чтобы увидеть редкое событие – полное солнечное затмение. В тот же день Лора оказывается свидетельницей изнасилования и, поверив напуг",1990,https://images.amazon.com/images/P/0140099832.01.LZZZZZZZ.jpg,Lake Wobegon Days,0140099832,он сказал она сказала эрин келли
Мемнох-дьявол,Энн Райс,"Зимний Нью-Йорк начала 1990-х. Именно сюда приводит вампира Лестата след одного из крупнейших наркодельцов Америки. На одной из тайных квартир, где преступник хранит ценнейшее собрание антикварных религиозных предметов, происходит их роковая встреча. Роковая и для Лестата, и для его жертвы. Ибо за ними незримо наблюдает сам Мемнох-дьявол, выбравший вампира Лестата себе в помощники, чтобы совместно противостоять Богу.Первый роман писательницы «Интервью с вампиром», положивший начало циклу «Вампирских хроник», в который входит и «Мемнох-дьявол», стал настоящим событием в мире литературы. Общий его тираж превысил рекордные 15 миллионов экземпляров, это едва ли не самая продаваемая из книг современных авторов в истории книжной торговли.","Зимний Нью-Йорк начала 1990-х. Именно сюда приводит вампира Лестата след одного из крупнейших наркодельцов Америки. На одной из тайных квартир, где преступник хранит ценнейшее собрание антикварных рел",1993,https://images.amazon.com/images/P/0679412956.01.LZZZZZZZ.jpg,Lasher,0679412956,мемнохдьявол энн райс
Дар волка,Энн Райс,"Молодой репортер Ройбен Голдинг по заданию своей газеты отправляется в уединенное поместье на берегу Тихого океана. Не в силах устоять перед красотой и обаянием владелицы поместья Мерчент Нидек, Ройбен проводит с ней страстную ночь. Все его планы провести жизнь вместе с этой удивительной женщиной в этом удивительном месте рушатся уже на следующее утро. Очнувшись после жестокого нападения на поместье, Ройбен обнаруживает мертвое тело своей возлюбленной и страшные раны на своем теле.Долгое время он не может вспомнить подробностей случившегося, но его тело начинает неуловимо меняться.Впервые на русском языке!","Молодой репортер Ройбен Голдинг по заданию своей газеты отправляется в уединенное поместье на берегу Тихого океана. Не в силах устоять перед красотой и обаянием владелицы поместья Мерчент Нидек, Ройбе",1994,https://images.amazon.com/images/P/0345377648.01.LZZZZZZZ.jpg,Lasher (Lives of the Mayfair Witches),0345377648,дар волка энн райс
Принц Лестат,Энн Райс,"Пятнадцать лет спустя Лестат возвращается в новом долгожданном романе Энн Райс!Мир вампиров погрузился в кризис: число новых обращенных растет, и благодаря высоким технологиям им все проще общаться между собой. Но древние вампиры, пробужденные ото сна загадочным Голосом, развязывают междоусобную войну. Голос приказывает им убивать молодых вампиров по всему миру. Но кто же или что этот Голос? Чего он хочет?Впервые на русском языке!","Пятнадцать лет спустя Лестат возвращается в новом долгожданном романе Энн Райс!Мир вампиров погрузился в кризис: число новых обращенных растет, и благодаря высоким технологиям им все проще общаться ме",1995,https://images.amazon.com/images/P/0345397819.01.LZZZZZZZ.jpg,Lasher: Lives of the Mayfair Witches (Lives of the Mayfair Witches),0345397819,принц лестат энн райс
Краткая история фотографии,Вальтер Беньямин,"Три классических эссе («Краткая история фотографии», «Париж – столица девятнадцатого столетия», «Произведение искусства в эпоху его технической воспроизводимости»), объединенные темой перемен, происходящих в искусстве, когда оно из уникального становится массовым и тиражируемым. Вальтер Беньямин (1892–1940) предлагает посмотреть на этот процесс не консервативных позиций, а, напротив, увидеть в его истоках новые формы социального бытования искусства, новую антропологию «массового зрителя» и новую коммуникативную функцию искусства в пространстве буржуазного мира.","Три классических эссе («Краткая история фотографии», «Париж – столица девятнадцатого столетия», «Произведение искусства в эпоху его технической воспроизводимости»), объединенные темой перемен, происхо",1981,https://images.amazon.com/images/P/0449242072.01.LZZZZZZZ.jpg,Last Enchantment,0449242072,краткая история фотографии вальтер беньямин
Последний поворот на Бруклин,Хьюберт Селби-младший,"Место действия: Бруклин, рабочий квартал Нью-Йорка конца 1960-х годов.Действующие лица: маргиналы всех мастей – проститутки, гомосексуалисты, хулиганы и сумасшедшие, трансвеститы, домохозяйки и брошенные дети.Отсутствуют: морализаторство, пафос, идеологическая нагрузка. Надежда. Вера. Любовь.","Место действия: Бруклин, рабочий квартал Нью-Йорка конца 1960-х годов.Действующие лица: маргиналы всех мастей – проститутки, гомосексуалисты, хулиганы и сумасшедшие, трансвеститы, домохозяйки и брошен",0,https://images.amazon.com/images/P/0586085882.01.LZZZZZZZ.jpg,Last Exit to Brooklyn,0586085882,последний поворот на бруклин хьюберт селбимладший
Рождественский экспресс,Дэвид Болдаччи,"Побитый жизнью журналист Том Лэнгдон не может путешествовать самолетами в результате неприятного инцидента в аэропорту. Поэтому ему придется добираться с восточного побережья США на западное поездом – чтобы встретить Рождество в объятиях подруги. Почему бы и нет? Отличный шанс проехать сквозь всю Америку, увидеть ее подлинную жизнь и сделать из этого хитовый материал! Однако поездка обернется чем-то совсем иным – путешествием по изрытым ухабами землям собственной души Тома. Его ждет череда совершенно неожиданных встреч, потерь и обретений, рождественские чудеса – и пробуждение к новой жизни...",Побитый жизнью журналист Том Лэнгдон не может путешествовать самолетами в результате неприятного инцидента в аэропорту. Поэтому ему придется добираться с восточного побережья США на западное поездом –,2001,https://images.amazon.com/images/P/0446525804.01.LZZZZZZZ.jpg,Last Man Standing,0446525804,рождественский экспресс дэвид болдаччи
Материнское воскресенье,Грэм Свифт,"Жизнь соткана из мгновений, впечатлений, ассоциаций. Мало кто их запоминает во всех подробностях. Но Джейн Фэйрчайлд всегда обращала внимание на детали. И Материнское воскресенье 1924 года, день, когда разбился в автокатастрофе Пол Шерингем – ее любовник – она запомнила во всех подробностях, вплоть до звуков и игры теней, запахов и ощущений. И именно в этот день перестала существовать сирота-служанка Джейн и появилась известная писательница, которой предстоит долгая, очень долгая жизнь, в которую уместится правление нескольких королей, две мировые войны и много что еще. И всю жизнь она будет разгадывать эту тайну – почему реальность отражается в нашем сознании так или иначе? И как найти нужные слова, чтобы воспроизвести цепь мгновений?","Жизнь соткана из мгновений, впечатлений, ассоциаций. Мало кто их запоминает во всех подробностях. Но Джейн Фэйрчайлд всегда обращала внимание на детали. И Материнское воскресенье 1924 года, день, когд",1997,https://images.amazon.com/images/P/0679766626.01.LZZZZZZZ.jpg,Last Orders,0679766626,материнское воскресенье грэм свифт
Избалованные смертью,Нора Робертс,"В центре Нью-Йорка был найден убитым водитель лимузина – хладнокровный убийца пронзил его сердце стрелой из арбалета. Пару дней спустя молодая красотка, оказывающая эскорт-услуги, была заколота штыком в луна-парке на Кони-Айленде. Почерк серийного убийцы очевиден, но вот мотив? Лейтенант полиции Ева Даллас подозревает, что ей пришлось столкнуться с самой опасной разновидностью преступника: с богатым и влиятельным человеком, убивающим ради острых ощущений. И теперь ей придется схватить за руку баловня судьбы, привыкшего получать все самое лучшее – и в жизни, и в смерти.","В центре Нью-Йорка был найден убитым водитель лимузина – хладнокровный убийца пронзил его сердце стрелой из арбалета. Пару дней спустя молодая красотка, оказывающая эскорт-услуги, была заколота штыком",2003,https://images.amazon.com/images/P/0373835922.01.LZZZZZZZ.jpg,Lawless,0373835922,избалованные смертью нора робертс
Убийство в «Восточном экспрессе» / Murder on the Orient Express,Агата Кристи,"Находившийся в Стамбуле великий сыщик Эркюль Пуаро возвращается в Англию на знаменитом «Восточном экспрессе», в котором вместе с ним едут, кажется, представители всех возможных национальностей. Один из пассажиров, неприятный американец по фамилии Рэтчетт, предлагает Пуаро стать телохранителем, поскольку считает, что его должны убить. Знаменитый бельгиец отмахивается от этой абсурдной просьбы. А на следующий день американца находят мертвым в своем купе, причем двери закрыты, а окно открыто. Пуаро немедленно берется за расследование – и выясняет, что купе полно всевозможных улик, указывающих... практически на всех пассажиров «Восточного экспресса». Вдобавок поезд наглухо застревает в снежных заносах в безлюдном месте. Пуаро необходимо найти убийцу до того, как экспресс продолжит свой путь...В формате PDF A4 сохранён издательский дизайн.","Находившийся в Стамбуле великий сыщик Эркюль Пуаро возвращается в Англию на знаменитом «Восточном экспрессе», в котором вместе с ним едут, кажется, представители всех возможных национальностей. Один и",2001,https://images.amazon.com/images/P/2013218923.01.LZZZZZZZ.jpg,Le Crime de l'Orient-Express,2013218923,убийство в восточном экспрессе murder on the orient express агата кристи
Парфюмер,Патрицк Сüскинд,,,1988,https://images.amazon.com/images/P/2253044903.01.LZZZZZZZ.jpg,Le Parfum : Histoire d'un meurtrier,2253044903,парфюмер патрицк сüскинд
The Little Prince,Антуан де Сент-Экзюпери,"The Little Prince (French: Le Petit Prince) – is an allegorical fable and the most famous work of Antoine de Saint-Exupery.It was first published in April 1943 by publisher “Reynal & Hitchcock” in both English and French. Saint-Exupery wrote the novella while living in New York City; a city he fled to after the occupation of his native France by Nazi Germany.The literary roots of the fable are based on the wandering plot of the rejected prince; while the emotional – on a child’s view of the world.The story line is built around the travels of the Little Prince who hails from the tiny planet B-612. Gradually, his journey becomes not just the literal movement from planet to planet, but more of a way to discover life and the world.Thanks to Saint-Exupery’s artistic methods, adult readers see in the fable, a transcript of a conversation of two old friends; while children get a vivid and easily understandable description of the world that surrounds them. Due mostly to these two factors, The Little Prince has achieved such high levels of recognition and popularity.",The Little Prince (French: Le Petit Prince) – is an allegorical fable and the most famous work of Antoine de Saint-Exupery.It was first published in April 1943 by publisher “Reynal & Hitchcock” in bot,1999,https://images.amazon.com/images/P/2070408507.01.LZZZZZZZ.jpg,Le Petit Prince,2070408507,the little prince антуан де сентэкзюпери
Опасные игры,Даниэла Стил,"Знаменитая тележурналистка Аликс Филлипс и ее верный оператор, бывший «морской котик» Бен Чапман, самая прославленная «новостная команда» в истории США. Сотни раз они рисковали жизнью под пулями и разрывами бомб, чтобы рассказать зрителям о том, что происходит в горячих точках планеты. Однако на такой риск им идти еще не приходилось...Против вице-президента Тони Кларка выдвинуты скандальные обвинения, и Аликс с Беном, конечно же, не могут остаться в стороне от столь сенсационной истории. Но внезапно они обнаруживают себя в самом центре паутины опасных политических и шпионских интриг – паутины, в которой отважным журналистам, вставшим на пути у могущественных и безжалостных людей, легко погибнуть...","Знаменитая тележурналистка Аликс Филлипс и ее верный оператор, бывший «морской котик» Бен Чапман, самая прославленная «новостная команда» в истории США. Сотни раз они рисковали жизнью под пулями и раз",2001,https://images.amazon.com/images/P/0385332963.01.LZZZZZZZ.jpg,Leap of Faith,0385332963,опасные игры даниэла стил
Мемуары принцессы,Джин П. Сэссон,"Что вы представляете, когда думаете о принцессу из Саудовской Аравии? Правильно - искрящиеся драгоценности, золото, роскошь везде и всюду. Но, как выясняется, не все так приятно и красиво...","Что вы представляете, когда думаете о принцессу из Саудовской Аравии? Правильно - искрящиеся драгоценности, золото, роскошь везде и всюду. Но, как выясняется, не все так приятно и красиво...",2003,https://images.amazon.com/images/P/0786867175.01.LZZZZZZZ.jpg,Leap of Faith : Memoirs of an Unexpected Life,0786867175,мемуары принцессы джин п сэссон
Это по-настоящему,Эрин Уатт,"Знакомьтесь, Окли Форд – золотой ребенок голливудских звезд, безбашенная рок-звезда, красавчик с миллионным фанклубом и... настоящий возмутитель спокойствия! Со стороны кажется, что у него есть всё, но когда его рейтинг начинает стремительно падать, потому что имя Окли не сходит со страниц желтой прессы, менеджеры решают создать ему имидж хорошего парня, чтобы спасти его музыкальную карьеру.Знакомьтесь, Вонн Беннетт – заботливая сестра, классическая отличница, идеальная девушка, у которой нет ничего общего с Окли Фордом. Но именно ей предлагают стать фейковой подружкой рок-звезды. Что с того, что Вонн считает Окли самовлюбленным идиотом? Ведь их отношения всего лишь понарошку! Или все же нет?..","Знакомьтесь, Окли Форд – золотой ребенок голливудских звезд, безбашенная рок-звезда, красавчик с миллионным фанклубом и... настоящий возмутитель спокойствия! Со стороны кажется, что у него есть всё, н",2000,https://images.amazon.com/images/P/0842342702.01.LZZZZZZZ.jpg,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),0842342702,это понастоящему эрин уатт
Маленькая русалочка,Рианнон Филдинг,"Что можно успеть за десять минут?Очень многое! Короткая история-считалочка познакомит тебя с любознательной Русалочкой из волшебной Сон-страны.Вместе с ней ты отправишься в путешествие по глубокому морю, увидишь его сказочных обитателей, а после, конечно же, увидишь самые яркие сны!",Что можно успеть за десять минут?Очень многое! Короткая история-считалочка познакомит тебя с любознательной Русалочкой из волшебной Сон-страны.Вместе с ней ты отправишься в путешествие по глубокому мо,1996,https://images.amazon.com/images/P/0842329129.01.LZZZZZZZ.jpg,Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),0842329129,маленькая русалочка рианнон филдинг
"Зверь, которого забыл придумать Бог",Джим Гаррисон,"Содерж.: Зверь, которого забыл придумать Бог ; Гей, на запад! ; Я забыл заехать в Испанию","Содерж.: Зверь, которого забыл придумать Бог ; Гей, на запад! ; Я забыл заехать в Испанию",1980,https://images.amazon.com/images/P/0385285965.01.LZZZZZZZ.jpg,Legends of the Fall,0385285965,зверь которого забыл придумать бог джим гаррисон
Грегор и проклятие теплокровных,Сьюзен Коллинз,,,2002,https://images.amazon.com/images/P/0060007192.01.LZZZZZZZ.jpg,Lemony Snicket: The Unauthorized Autobiography,0060007192,грегор и проклятие теплокровных сьюзен коллинз
Революция муравьев,Бернар Вербер,"Жюли Пинсон, девятнадцатилетняя лицеистка, которая уже третий год не может сдать выпускной экзамен, находит в лесу в пещере третий том «Энциклопедии относительного и абсолютного знания» Эдмонда Уэллса. Из него она узнает о том, как сложен и необычен мир муравьев, как многому можно у них научиться. Тем временем особь номер 103 из Бел-о-Кана, муравьиного города, пытается понять людей. Что же произойдет, когда две цивилизации наконец услышат друг друга?","Жюли Пинсон, девятнадцатилетняя лицеистка, которая уже третий год не может сдать выпускной экзамен, находит в лесу в пещере третий том «Энциклопедии относительного и абсолютного знания» Эдмонда Уэллса",2002,https://images.amazon.com/images/P/2253063339.01.LZZZZZZZ.jpg,Les Fourmis,2253063339,революция муравьев бернар вербер
Зеркало Кассандры,Бернар Вербер,"Кассандра – юная девушка, которая забыла свое прошлое после того, как пережила теракт. В этом мире она совсем одна, но у нее есть невероятный дар – дар предвидения. В ее силах изменять будущее. Она так много знает, но так мало еще испытала в жизни. Ее невероятное приключение начинается на парижской свалке, где среди маргиналов и бездомных она находит тех, кто готов к ней прислушаться, а возможно – и полюбить. Ведь, как известно, именно любовь может спасти мир.","Кассандра – юная девушка, которая забыла свое прошлое после того, как пережила теракт. В этом мире она совсем одна, но у нее есть невероятный дар – дар предвидения. В ее силах изменять будущее. Она та",1996,https://images.amazon.com/images/P/225313922X.01.LZZZZZZZ.jpg,Les Thanatonautes,225313922X,зеркало кассандры бернар вербер
Игра в невидимку,Роберт Стайн,"ИСЧЕЗНОВЕНИЯ БЫВАЮТ СМЕРТЕЛЬНО ОПАСНЫМИ...В свой день рождения Макс находит на чердаке необычный подарок – волшебное зеркало, способное делать человека невидимым. Макс и его друзья затевают игру в невидимку: «Вот меня видно, а вот не видно». Все это ужасно забавно и интересно. Но постепенно Макс понимает, что теряет контроль над волшебством. С каждым разом он остается невидимым все дольше и дольше. Игра в невидимку обернулась опасной забавой. Неужели Макс и его друзья останутся невидимыми навечно?","ИСЧЕЗНОВЕНИЯ БЫВАЮТ СМЕРТЕЛЬНО ОПАСНЫМИ...В свой день рождения Макс находит на чердаке необычный подарок – волшебное зеркало, способное делать человека невидимым. Макс и его друзья затевают игру в нев",1995,https://images.amazon.com/images/P/059045370X.01.LZZZZZZZ.jpg,"Let's Get Invisible! (Goosebumps, No 6)",059045370X,игра в невидимку роберт стайн
Это гиблое место,Александра Кристо,"Зачарованные улицы этого города стали домом для головорезов и мечтателей. Четверка мошенников знает, как обмануть и тех, и других.Тавия – уличная артистка, мечтающая оставить преступное прошлое позади.Уэсли – владелец подпольных заведений, желающий заполучить абсолютную власть.Карам – участница боев без правил, намеренная восстановить честь своего народа.Саксония – обладательница магической силы, готовая на все ради мести.Каждый из них стремительно движется к своей цели до тех пор, пока Тавия не совершает фатальную ошибку. Девушка высвобождает темную магию, которая превращает простых людей в безумцев. И теперь преступникам придется объединиться, чтобы защитить свои мечты и город, ставший их домом. Однако в мире, где правят обман и алчность, не стоит никому доверять. И прежде всего друг другу.","Зачарованные улицы этого города стали домом для головорезов и мечтателей. Четверка мошенников знает, как обмануть и тех, и других.Тавия – уличная артистка, мечтающая оставить преступное прошлое позади",2003,https://images.amazon.com/images/P/0743444477.01.LZZZZZZZ.jpg,Letters for Emily,0743444477,это гиблое место александра кристо
Как ты смеешь,Меган Эббот,"«Нет никого опаснее скучающих девочек-подростков», – сказала тренер когда-то давно, когда ветер кружил сухие листья у наших ног.Бет и Эдди – лучшие подруги и королевы школьной команды поддержки, царствующие в своем маленьком закрытом мирке.Но все меняется, когда приходит новый тренер.Красивая, сильная, идеальная, она быстро завоевывает авторитет и меняет весь привычный уклад, внося раздор в крепкую дружбу и проверяя девочек на прочность.Неожиданное убийство и полицейское расследование затрагивают как нового тренера, так и команду поддержки.Спортивный сезон, как и следствие по делу, близятся к завершению.Кто окажется под подозрением?И смогут ли девочки сохранить дружбу, когда узнают правду?","«Нет никого опаснее скучающих девочек-подростков», – сказала тренер когда-то давно, когда ветер кружил сухие листья у наших ног.Бет и Эдди – лучшие подруги и королевы школьной команды поддержки, царст",1999,https://images.amazon.com/images/P/0380973545.01.LZZZZZZZ.jpg,Letters from a Nut,0380973545,как ты смеешь меган эббот
Письма к молодому поэту,Райнер Мария Рильке,"Творческое наследие Рильке уникально в своей многогранности, в своем противоречии эпохе: в непростые времена революций и Первой мировой войны он писал об эстетике и мечтах, обращаясь к «внутреннему миру человека, который полон сокровенных, одному ему понятных значений и смыслов».Хотя мировую славу Рильке принесли поэтические сборники, его проза по силе духа, мощи, звенящему ощущению реальности не уступает стихам. В настоящий сборник вошли знаменитые «Письма к молодому поэту» и «Письма о Сезанне» – тонкие заметки о поэзии и природе поэтического творчества, об искусстве и пути истинного художника, об одиночестве и любви.В формате a4.pdf сохранен издательский макет книги.","Творческое наследие Рильке уникально в своей многогранности, в своем противоречии эпохе: в непростые времена революций и Первой мировой войны он писал об эстетике и мечтах, обращаясь к «внутреннему ми",1986,https://images.amazon.com/images/P/0394741048.01.LZZZZZZZ.jpg,Letters to a Young Poet,0394741048,письма к молодому поэту райнер мария рильке
Ночной администратор,Джон Ле Карре,"В центр романа «Ночной администратор» мастер головоломных шпионских историй Джон Ле Карре поместил Джонатана Пайна. Искушенный боец невидимого фронта, Пайн оставил службу после трагедии, в которой погибла дорогая ему женщина. И вот он, ночной портье самого респектабельного цюрихского отеля, встречает человека, виновного в смерти любимой. Чтобы покарать врага, Пайну приходится вернуться в строй.","В центр романа «Ночной администратор» мастер головоломных шпионских историй Джон Ле Карре поместил Джонатана Пайна. Искушенный боец невидимого фронта, Пайн оставил службу после трагедии, в которой пог",1986,https://images.amazon.com/images/P/0451146425.01.LZZZZZZZ.jpg,Lie Down With Lions,0451146425,ночной администратор джон ле карре
Нерассказанная история США,"Оливер Стоун, Питер Кузник","Мы не хотим заново пересказывать всю историю нашей страны — это попросту невозможно. Мы стремимся пролить свет на то, что мы считаем предательством идей, легших в основу ее исторической миссии, — поскольку нам кажется, что все еще есть надежда исправить эти ошибки до того, как XXI век окончательно вступит в свои права. Нас глубоко беспокоит курс, взятый США в последнее время. Почему наша страна размещает во всех уголках земного шара свои военные базы, общее количество которых, по некоторым подсчетам, перевалило за тысячу? Почему США тратят на свои вооруженные силы больше денег, чем все остальные страны, вместе взятые? Почему наше государство по-прежнему содержит огромный арсенал ядерного оружия, большая часть которого находится в постоянной боевой готовности, хотя, по сути, ни одна страна сегодня не представляет для нас непосредственной угрозы? Почему ничтожному меньшинству состоятельных американцев позволено оказывать такое мощное влияние на внутреннюю и внешнюю политику США и СМИ, в то время как широкие народные массы страдают от снижения уровня жизни, а их голос в политике слышен все слабее? Почему американцы вынуждены мириться с постоянным надзором, вмешательством государства в их личные дела, попранием гражданских свобод и утратой права на частную жизнь? Это повергло бы в ужас отцов-основателей и прежние поколения американцев. Почему в нашей стране именно те, кем движет жадность и узколобый эгоизм, правят теми, кто ратует за такие общественные ценности, как доброта, щедрость, сочувствие к окружающим, общность интересов и верность общенародным идеалам? И это лишь малая толика тех вопросов, которые мы зададим на страницах этой книги. И хотя мы не надеемся, что сумеем найти ответы на все из них, мы все же постараемся представить исторические факты так, чтобы читатели смогли самостоятельно углубиться в изучение заинтересовавших их вопросов. В истории Американской империи мало хорошего. Но необходимо честно и открыто говорить о ней, если мы хотим, чтобы Соединенные Штаты когда-нибудь отважились пойти на коренные реформы, которые позволят им играть ведущую роль в продвижении человечества вперед, вместо того чтобы всячески тормозить его прогресс. Оливер Стоун, Питер Кузник","Мы не хотим заново пересказывать всю историю нашей страны — это попросту невозможно. Мы стремимся пролить свет на то, что мы считаем предательством идей, легших в основу ее исторической миссии, — поск",1996,https://images.amazon.com/images/P/0684818868.01.LZZZZZZZ.jpg,Lies My Teacher Told Me : Everything Your American History Textbook Got Wrong,0684818868,нерассказанная история сша оливер стоун питер кузник
Заветы,Маргарет Этвуд,"Больше пятнадцати лет прошло с момента событий «Рассказа Служанки», республика Галаад с ее теократическим режимом по-прежнему удерживает власть, но появляются первые признаки внутреннего разложения. В это важное время судьбы трех очень разных женщин сплетаются – и результаты их союза сулят взрыв. Две из них принадлежат первому поколению, выросшему при новом порядке. К их голосам присоединяется третий – голос Тетки Лидии. Ее непростое прошлое и смутное будущее таят в себе множество загадок. В «Заветах» Маргарет Этвуд приподнимает пелену над внутренними механизмами Галаада, и в свете открывшихся истин каждая героиня должна понять, кто она, и решить, как далеко она готова пойти в борьбе за то, во что верит.","Больше пятнадцати лет прошло с момента событий «Рассказа Служанки», республика Галаад с ее теократическим режимом по-прежнему удерживает власть, но появляются первые признаки внутреннего разложения. В",1990,https://images.amazon.com/images/P/0449213773.01.LZZZZZZZ.jpg,Life Before Man,0449213773,заветы маргарет этвуд
